Task_ID,Employee_ID,Project_ID,Task,Time_Taken_Hours,Completion_Date,Name,Team,Role,Project_Name,Client
1,93,2,Performance Testing,9,2025-02-26,Kristen Golden,Design,UI Designer,Revold World,Martinez-James
2,143,3,Testing,3,2025-03-08,Jordan Gomez,Data,Data Analyst,Planted,Clark and Sons
3,171,4,Meeting,12,2025-03-12,Nicolas Alvarez,Dev,Backend Developer,SRMG,Conley and Sons
4,52,3,Design Review,8,2025-01-07,Mary Oliver,Data,Data Engineer,Planted,Clark and Sons
5,8,3,Testing,4,2025-02-04,Shelly Morales,Data,Data Analyst,Planted,Clark and Sons
6,29,2,Code Review,8,2025-01-05,Brianna Richards,Data,Data Analyst,Revold World,Martinez-James
7,189,2,Code Review,3,2025-01-21,Elizabeth Boyle,QA,Automation Engineer,Revold World,Martinez-James
8,145,2,UI Enhancement,3,2025-01-01,Mario Brown,Management,Scrum Master,Revold World,Martinez-James
9,88,3,Feature Development,5,2025-01-17,Gabriel Mejia,Dev,Backend Developer,Planted,Clark and Sons
10,35,4,Meeting,11,2025-03-20,Deborah Davis,Data,ML Engineer,SRMG,Conley and Sons
11,70,3,Bug Fixing,6,2025-02-25,David Burns,Management,Project Manager,Planted,Clark and Sons
12,179,4,Security Patching,4,2025-02-07,Jonathan Flowers,Admin,System Admin,SRMG,Conley and Sons
13,148,4,Meeting,12,2025-02-09,Michael Perkins,Management,Project Manager,SRMG,Conley and Sons
14,61,3,Feature Development,5,2025-03-06,Leslie Smith,Data,Data Engineer,Planted,Clark and Sons
15,185,4,Database Optimization,4,2025-03-17,Danielle Russo,Dev,Backend Developer,SRMG,Conley and Sons
16,1,2,Testing,2,2025-01-16,Tina Olson,QA,Test Analyst,Revold World,Martinez-James
17,123,4,Database Optimization,11,2025-01-02,Deborah Perez,QA,QA Engineer,SRMG,Conley and Sons
18,182,3,Testing,1,2025-01-07,Nancy Parsons,Admin,HR,Planted,Clark and Sons
19,175,5,Database Optimization,5,2025-03-23,Michael Gill,Management,Scrum Master,NBC,"Mcclure, Howard and Patterson"
20,103,5,Database Optimization,2,2025-01-22,Patrick Carlson,QA,Test Analyst,NBC,"Mcclure, Howard and Patterson"
21,181,1,Security Patching,2,2025-03-03,Amanda Santana,Dev,Software Engineer,Sopheon,"Griffith, Williams and Thornton"
22,90,4,UI Enhancement,2,2025-02-12,Scott Arellano,Management,Scrum Master,SRMG,Conley and Sons
23,160,2,Testing,11,2025-01-24,Carrie Gonzalez,QA,QA Engineer,Revold World,Martinez-James
24,77,5,Bug Fixing,1,2025-03-15,Miranda Chapman,Dev,Frontend Developer,NBC,"Mcclure, Howard and Patterson"
25,146,1,Meeting,4,2025-02-11,Monique Burgess,Dev,Frontend Developer,Sopheon,"Griffith, Williams and Thornton"
26,168,3,Feature Development,9,2025-02-24,Chad Davidson,Dev,Backend Developer,Planted,Clark and Sons
27,76,3,Bug Fixing,10,2025-02-11,Laura Scott,QA,QA Engineer,Planted,Clark and Sons
28,175,4,Security Patching,4,2025-03-16,Michael Gill,Management,Scrum Master,SRMG,Conley and Sons
